FID,gis_id,ssc_code,ssc_name,lga_code,Total_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time_Vic,Total_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time_Vic,Total_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work_Vic,Total_Persons_Unemployed,Percentage_Persons_Unemployed,Percentage_Persons_Unemployed_Vic,Year
employment_suburb.fid-70a927cd_165b71c4c19_2940,2500,SSC22500,Thowgla Valley,LGA26670,27,55.1,58.08,19,38.78,32.02,3,6.12,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2941,114,SSC20114,Balliang,LGA22750,67,54.92,58.08,46,37.7,32.02,4,3.28,3.19,5,4.1,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2942,2519,SSC22519,Tooan,LGA23190,13,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2943,118,SSC20118,Balmoral,LGA26260,69,49.64,58.08,56,40.29,32.02,10,7.19,3.19,4,2.88,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2944,119,SSC20119,Balnarring,LGA25340,565,51.04,58.08,447,40.38,32.02,60,5.42,3.19,35,3.16,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2945,1405,SSC21405,Kyabram South,LGA22830,26,59.09,58.08,12,27.27,32.02,3,6.82,3.19,3,6.82,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2946,796,SSC20796,Drysdale,LGA22750,922,50.83,58.08,712,39.25,32.02,80,4.41,3.19,100,5.51,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2947,2848,SSC22848,Woosang,LGA21270,5,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2948,2852,SSC22852,Wrixon,LGA26810,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2949,2705,SSC22705,Waterholes,LGA22110,0,0,58.08,5,100,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_294a,1315,SSC21315,Kenmare,LGA22980,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_294b,1947,SSC21947,Noradjuha,LGA23190,29,54.72,58.08,16,30.19,32.02,8,15.09,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_294c,1334,SSC21334,Kialla West,LGA22830,123,55.66,58.08,83,37.56,32.02,5,2.26,3.19,10,4.52,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_294d,1948,SSC21948,Norlane,LGA22750,1276,46.15,58.08,887,32.08,32.02,91,3.29,3.19,511,18.48,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_294e,181,SSC20181,Beaumaris,LGA20910,3709,56.57,58.08,2371,36.17,32.02,178,2.72,3.19,298,4.55,6.71,2016
